No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00102,9789675416194,Cuti-cuti Malaysia,Sulaiman Zakaria,Penerbit Sinar Cemerlang,2011,70,13.60,Malay,NF,915.95,SUL,1,,
00103,9780439963978,Cracking Coasts (Horrible Geography),Anita Ganeri,Scholastic ,2006,128,32.90,English,NF,910,GAN,1,,
00104,9780439978682,Wild Islands (Horrible Geography),Anita Ganeri,Scholastic ,2004,160,32.90,English,NF,910,GAN,1,,
00105,9780439014816,Desperate Deserts (Horrible Geography),"Anita Ganeri, Mike Phillips",Scholastic ,2000,160,32.90,English,NF,910,GAN,1,,
00106,9780582854925,The Amazon rain forest,Bernard Smith,Pearson Education,2005,27,Dihadiahkan,English,NF,910,SMI,1,,
00107,9789838527156,Tekukur Di Ranting,Khadijah Hashim,K Publishing Sdn Bhd,2015,70,25.00,Malay,NF,978,KHA,1,,
00108,9789833698899,Menggapai Bintang,Sheikh Mustapha Shukor al-Masrie,MPH Publishing,2008,105,20.00,Malay,NF,910,SHE,1,,
00109,9789833698783,Reaching for the Stars,Sheikh Mustapha Shukor Al-Masrie,MPH Group Publishing,2008,71,20.00,English,NF,910,SHE,1,,
00110,9789831002599,Pengembaraan Ibn Battuta Musafir Islam,Rose E. Dunn,Universiti Malaya,2005,378,Dihadiahkan,Malay,NF,910,DUN,1,,
00111,9789831249000,Ulu Yam Di Liverpool,Nazali Noor,Diterbit & diedarkan oleh Grup Buku Karangkraf Sdn. Bhd.,2014,496,Dihadiahkan,Malay,NF,910.4,NAZ,1,,
00112,9789834316907,Travels in the Malaysian Rainforest,Teong Jin Tan,Blue Mountain Press,2006,248,38.00,English,NF,910,TAN,2,,
00113,9789678101448,Bandar Raya Dunia,Michael Pollard,Vinpress,1993,47,30.00,Malay,NF,910,PER,1,,
00114,9789831438633,Sumber-Sumber Utama & Kepelbagaian Kegiatan Ekonomi,Huzail Hussin,Penerbit Mega Setia Emas,2006,29,Dihadiahkan,Malay,NF,910.1,HUZ,1,,
00115,9789814155656,The Encyclopaedia of the Indian Diaspora,"Brij V. Lal, Peter Reeves, Rajesh Rai",Editions Didier Millet Pty Ltd,2007,416,Dihadiahkan,English,NF,915.4,BRI,1,,
00116,9789812291783,Dragon Tales China's History from Tang to Qing,Lin Shan,Asiapac Books,2001,218,Dihadiahkan,English,F,FE,SHA,6,,
00117,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00118,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00119,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00120,9789670342474,Tanya Pakar ,Norintan Zainal Shah,Grupbuku Karangkraf,2012,100,16.00,Malay,NF,618.2,NOR,8,,
00121,9789675381560,Tidak Takut kepada Harimau yang Sebenar,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,4,,
00122,9789675381560,Tidak Takut kepada Harimau yang Sebenar,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,4,,
00123,9789675381560,Tidak Takut kepada Harimau yang Sebenar,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,4,,
00124,9789675381577,Perkara yang Kecil tetapi Amat Bermakna ,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00125,9789675381577,Perkara yang Kecil tetapi Amat Bermakna ,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00126,9789675381577,Perkara yang Kecil tetapi Amat Bermakna ,Zheng Chunhua,Green Fiction Publishing,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00127,9789675381553,Warna Sebuah Hati yang Suci Murni,Zheng Chunhua,Green Fiction Publishing ,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00128,9789675381553,Warna Sebuah Hati yang Suci Murni,Zheng Chunhua,Green Fiction Publishing ,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00129,9789675381553,Warna Sebuah Hati yang Suci Murni,Zheng Chunhua,Green Fiction Publishing ,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00130,9789675381553,Warna Sebuah Hati yang Suci Murni,Zheng Chunhua,Green Fiction Publishing ,2019,105,Dihadiahkan,Malay,F,FM,ZHE,5,,
00131,9789673179237,Kisah Arnab Yang Angkuh Dan Kisah Sang Merpati Dan Semut,Kohwai Dan Young,Kohwai Dan Young,2013,16,2.90,Malay,F,FM,KAY,3,,
00132,9789675234347,Imej : Diri Anda Aset Anda,Sharifah Shawati Syed Mohd,Buku Prima,2009,256,Dihadiahkan,Malay,NF,395.52,SSS,3,,
00133,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00134,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00135,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00136,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00137,9679712710,Saya Datang Dari Somalia ,Jo Matthews,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,MAT,2,,
00138,9679712702,Saya Datang Dari Vietnam,Jo Matthews,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,MAT,2,,
00139,9679712729,Saya Datang Dari Bosnia,Anita Ganeri,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,GAN,2,,
00140,9838233137,Amerika Selatan 2,B.C. Tan,Penerbit Prisma Sdn. Bhd. ,1995,43,Dihadiahkan,Malay,NF,910,SER,2,,
00141,9789830687056,Impresionisme,Jane Bingham,ITBM,2011,46,20.00,Malay,NF,909,JAN,2,,
00142,9789834316907,Travels in the Malaysian Rainforest,Teong Jin Tan,Blue Mountain Press,2006,248,38.00,English,NF,910,TAN,2,,
00143,9789839972979,Children's Illustrated Library of Knowledge:Our World,Johore Central Store,Johore Central Store,2002,64,Dihadiahkan,English,NF,909,HIS,1,,
00144,9789675234347,Imej : Diri Anda Aset Anda,Sharifah Shawati Syed Mohd,Buku Prima,2009,256,Dihadiahkan,Malay,NF,395.52,SSS,3,,
00145,9789833281923,Buaya Di Sungai Sook,Kohwai & Young,Kohwai & Young,2005,16,Dihadiahkan,Malay,NF,FM,KAY,1,,
00146,9789833281855,Ikan Larangan,Kohwai & Young,Kohwai & Young,2005,16,Dihadiahkan,Malay,NF,FM,KAY,1,,
00147,9780545552547,Lincoln's Grave Robbers,Steve Sheinkin,Scholastic,2012,214,Dihadiahkan,English,F,FE,STE,5,,
00148,9780545552547,Lincoln's Grave Robbers,Steve Sheinkin,Scholastic,2012,214,Dihadiahkan,English,F,FE,STE,5,,
00149,9780545552547,Lincoln's Grave Robbers,Steve Sheinkin,Scholastic,2012,214,Dihadiahkan,English,F,FE,STE,5,,
